1,0:00:00.436567,java BoundedBufferTable TextFiles/text1.txt TextFiles/text1.txt
2,0:00:00.147500,java BoundedBufferTable TextFiles/text1.txt TextFiles/text1.txt
3,0:00:00.257529,java BoundedBufferTable TextFiles/text1.txt TextFiles/text1.txt
1,0:00:00.129306,java BoundedBufferTable TextFiles/book.txt TextFiles/from7to70.txt TextFiles/book.txt TextFiles/from7to70.txt
2,0:00:00.120330,java BoundedBufferTable TextFiles/book.txt TextFiles/from7to70.txt TextFiles/book.txt TextFiles/from7to70.txt
3,0:00:00.163144,java BoundedBufferTable TextFiles/book.txt TextFiles/from7to70.txt TextFiles/book.txt TextFiles/from7to70.txt
1,0:00:00.123056,java BoundedBufferTable TextFiles/book.txt TextFiles/from7to70.txt TextFiles/book.txt TextFiles/from7to70.txt  TextFiles/book.txt TextFiles/from7to70.txt
2,0:00:00.136064,java BoundedBufferTable TextFiles/book.txt TextFiles/from7to70.txt TextFiles/book.txt TextFiles/from7to70.txt  TextFiles/book.txt TextFiles/from7to70.txt
3,0:00:00.114831,java BoundedBufferTable TextFiles/book.txt TextFiles/from7to70.txt TextFiles/book.txt TextFiles/from7to70.txt  TextFiles/book.txt TextFiles/from7to70.txt
1,0:00:00.171180,java BoundedBufferTable TextFiles/text1.txt TextFiles/text1.txt
2,0:00:00.179448,java BoundedBufferTable TextFiles/text1.txt TextFiles/text1.txt
3,0:00:00.123282,java BoundedBufferTable TextFiles/text1.txt TextFiles/text1.txt
1,0:00:00.124268,java BoundedBufferTable TextFiles/book.txt TextFiles/from7to70.txt TextFiles/book.txt TextFiles/from7to70.txt
2,0:00:00.173129,java BoundedBufferTable TextFiles/book.txt TextFiles/from7to70.txt TextFiles/book.txt TextFiles/from7to70.txt
3,0:00:00.152356,java BoundedBufferTable TextFiles/book.txt TextFiles/from7to70.txt TextFiles/book.txt TextFiles/from7to70.txt
1,0:00:00.119123,java BoundedBufferTable TextFiles/book.txt TextFiles/from7to70.txt TextFiles/book.txt TextFiles/from7to70.txt  TextFiles/book.txt TextFiles/from7to70.txt
2,0:00:00.136120,java BoundedBufferTable TextFiles/book.txt TextFiles/from7to70.txt TextFiles/book.txt TextFiles/from7to70.txt  TextFiles/book.txt TextFiles/from7to70.txt
3,0:00:00.188219,java BoundedBufferTable TextFiles/book.txt TextFiles/from7to70.txt TextFiles/book.txt TextFiles/from7to70.txt  TextFiles/book.txt TextFiles/from7to70.txt
1,0:00:00.291233,java BoundedBufferTable text1.txt text1.txt
2,0:00:00.248807,java BoundedBufferTable text1.txt text1.txt
3,0:00:00.288330,java BoundedBufferTable text1.txt text1.txt
